event_id,event_ts,user_id,org,plan,event_type,device,duration_ms
e0026,2026-01-12T15:54:00.000Z,u071,Globex,Team,query_error,mobile,1480
e0027,2026-01-04T21:58:00.000Z,u102,Synogize,Pro,login,web,1268
e0028,2026-01-05T21:16:00.000Z,u020,Globex,Team,chart_apply,web,896
e0029,2026-01-24T22:47:00.000Z,u015,Acme,Free,query_run,web,330
e0030,2026-01-02T19:43:00.000Z,u089,Acme,Free,query_error,mobile,1337
e0031,2026-01-11T03:45:00.000Z,u091,Globex,Team,chart_apply,mobile,548
e0032,2026-01-19T18:35:00.000Z,u146,Synogize,Pro,chart_apply,web,1086
e0033,2026-01-16T10:05:00.000Z,u146,Synogize,Pro,query_run,mobile,775
e0034,2026-01-16T16:32:00.000Z,u104,Globex,Team,query_error,mobile,911
e0035,2026-01-27T13:48:00.000Z,u086,Synogize,Pro,query_run,web,1466
e0036,2026-01-17T18:41:00.000Z,u004,Globex,Team,query_error,mobile,1486
e0037,2026-01-03T04:30:00.000Z,u069,Acme,Free,export_csv,mobile,842
e0038,2026-01-16T13:56:00.000Z,u111,Synogize,Pro,login,mobile,1017
e0039,2026-01-02T17:01:00.000Z,u136,Globex,Team,login,mobile,1161
e0040,2026-01-10T04:56:00.000Z,u115,Synogize,Pro,chart_apply,mobile,1194
e0041,2026-01-10T20:07:00.000Z,u031,Acme,Free,login,mobile,1080
e0042,2026-01-08T07:10:00.000Z,u019,Synogize,Pro,export_csv,web,1330
e0043,2026-01-17T10:51:00.000Z,u153,Acme,Free,login,mobile,808
e0044,2026-01-25T06:39:00.000Z,u073,Synogize,Pro,query_error,mobile,1489
e0045,2026-01-05T16:49:00.000Z,u051,Globex,Team,login,web,1303
e0046,2026-01-08T15:37:00.000Z,u001,Globex,Team,query_error,mobile,577
e0047,2026-01-21T00:52:00.000Z,u057,Synogize,Pro,query_error,web,811
e0048,2026-01-28T11:08:00.000Z,u191,Synogize,Pro,login,mobile,1232
e0049,2026-01-23T14:59:00.000Z,u155,Globex,Team,export_csv,web,760
e0050,2026-01-14T09:58:00.000Z,u017,Globex,Team,export_csv,mobile,544
e0051,2026-01-17T17:11:00.000Z,u082,Acme,Free,login,web,1456
e0052,2026-01-03T09:55:00.000Z,u077,Globex,Team,chart_apply,web,613
e0053,2026-01-28T06:16:00.000Z,u093,Acme,Free,query_run,mobile,1111
e0054,2026-01-27T08:55:00.000Z,u158,Globex,Team,export_csv,mobile,917
e0055,2026-01-12T08:14:00.000Z,u178,Acme,Free,chart_apply,mobile,798
e0056,2026-01-25T05:51:00.000Z,u012,Synogize,Pro,chart_apply,mobile,560
e0057,2026-01-07T20:23:00.000Z,u009,Acme,Free,chart_apply,mobile,789
e0058,2026-01-27T02:51:00.000Z,u024,Globex,Team,login,web,1335
e0059,2026-01-16T20:48:00.000Z,u146,Globex,Team,export_csv,web,387
e0060,2026-01-22T00:42:00.000Z,u108,Globex,Team,chart_apply,mobile,719
e0061,2026-01-26T22:11:00.000Z,u142,Globex,Team,export_csv,web,825
e0062,2026-01-11T03:33:00.000Z,u159,Globex,Team,query_run,mobile,1394
e0063,2026-01-16T17:30:00.000Z,u196,Synogize,Pro,query_error,web,1422
e0064,2026-01-14T01:28:00.000Z,u083,Synogize,Pro,export_csv,web,497
e0065,2026-01-14T11:04:00.000Z,u190,Acme,Free,login,mobile,920
e0066,2026-01-22T06:58:00.000Z,u083,Globex,Team,query_error,mobile,1297
e0067,2026-01-04T11:47:00.000Z,u020,Acme,Free,export_csv,mobile,1352
e0068,2026-01-25T03:35:00.000Z,u012,Synogize,Pro,chart_apply,mobile,1164
e0069,2026-01-08T05:59:00.000Z,u043,Synogize,Pro,login,web,1114
e0070,2026-01-11T05:41:00.000Z,u037,Acme,Free,chart_apply,web,834
e0071,2026-01-05T09:55:00.000Z,u015,Globex,Team,export_csv,web,848
e0072,2026-01-29T08:59:00.000Z,u109,Acme,Free,export_csv,web,1171
e0073,2026-01-10T05:43:00.000Z,u166,Acme,Free,login,web,912
e0074,2026-01-15T08:32:00.000Z,u071,Acme,Free,query_error,web,1113
e0075,2026-01-01T15:58:00.000Z,u146,Globex,Team,query_run,web,340
e0076,2026-01-04T16:05:00.000Z,u008,Synogize,Pro,chart_apply,mobile,747
e0077,2026-01-06T00:10:00.000Z,u135,Globex,Team,export_csv,web,620
e0078,2026-01-05T20:16:00.000Z,u077,Synogize,Pro,export_csv,web,869
e0079,2026-01-19T19:12:00.000Z,u113,Globex,Team,query_error,web,900
e0080,2026-01-21T11:45:00.000Z,u036,Globex,Team,export_csv,web,1252
e0081,2026-01-28T06:59:00.000Z,u117,Acme,Free,chart_apply,mobile,1251
e0082,2026-01-16T11:03:00.000Z,u174,Acme,Free,chart_apply,mobile,693
e0083,2026-01-12T17:49:00.000Z,u168,Globex,Team,query_error,mobile,405
e0084,2026-01-30T19:57:00.000Z,u119,Synogize,Pro,login,web,1066
e0085,2026-01-29T00:14:00.000Z,u017,Acme,Free,query_run,mobile,1120
e0086,2026-01-29T15:45:00.000Z,u091,Globex,Team,login,mobile,1479
e0087,2026-01-02T07:34:00.000Z,u023,Synogize,Pro,export_csv,web,1217
e0088,2026-01-11T23:30:00.000Z,u174,Synogize,Pro,query_error,web,1114
e0089,2026-01-02T00:17:00.000Z,u074,Synogize,Pro,query_run,web,858
e0090,2026-01-19T02:44:00.000Z,u066,Acme,Free,query_run,web,1292
e0091,2026-01-11T00:16:00.000Z,u077,Synogize,Pro,chart_apply,web,776
e0092,2026-01-26T08:58:00.000Z,u154,Acme,Free,query_run,web,1043
e0093,2026-01-17T10:22:00.000Z,u117,Acme,Free,query_error,mobile,1304
e0094,2026-01-17T05:18:00.000Z,u086,Globex,Team,export_csv,mobile,316
e0095,2026-01-18T04:20:00.000Z,u011,Acme,Free,export_csv,mobile,846
e0096,2026-01-03T18:28:00.000Z,u081,Acme,Free,login,mobile,1263
e0097,2026-01-27T15:07:00.000Z,u192,Globex,Team,export_csv,web,1408
e0098,2026-01-20T19:17:00.000Z,u064,Synogize,Pro,query_run,web,676
e0099,2026-01-28T15:22:00.000Z,u180,Synogize,Pro,login,web,1222
e0100,2026-01-21T21:40:00.000Z,u004,Synogize,Pro,chart_apply,web,448
e0101,2026-01-18T10:28:00.000Z,u116,Synogize,Pro,export_csv,web,575
e0102,2026-01-25T07:02:00.000Z,u009,Synogize,Pro,login,web,983
e0103,2026-01-10T05:48:00.000Z,u087,Synogize,Pro,query_error,mobile,1235
e0104,2026-01-13T09:22:00.000Z,u015,Globex,Team,query_error,web,1496
e0105,2026-01-16T14:17:00.000Z,u125,Synogize,Pro,login,web,1307
e0106,2026-01-08T15:22:00.000Z,u199,Synogize,Pro,query_run,web,1468
e0107,2026-01-18T14:06:00.000Z,u065,Synogize,Pro,chart_apply,mobile,1334
e0108,2026-01-08T08:28:00.000Z,u113,Globex,Team,query_error,mobile,1426
e0109,2026-01-10T14:15:00.000Z,u147,Acme,Free,chart_apply,web,431
e0110,2026-01-11T19:26:00.000Z,u111,Synogize,Pro,login,mobile,1179
e0111,2026-01-26T13:13:00.000Z,u074,Acme,Free,query_error,mobile,843
e0112,2026-01-25T00:34:00.000Z,u043,Acme,Free,query_run,mobile,1278
e0113,2026-01-17T01:13:00.000Z,u161,Globex,Team,login,mobile,869
e0114,2026-01-30T21:42:00.000Z,u149,Acme,Free,login,web,1354
e0115,2026-01-19T01:14:00.000Z,u103,Acme,Free,login,mobile,1120
e0116,2026-01-23T00:02:00.000Z,u194,Acme,Free,query_error,mobile,625
e0117,2026-01-16T08:55:00.000Z,u038,Globex,Team,login,web,1137
e0118,2026-01-21T09:26:00.000Z,u198,Globex,Team,export_csv,mobile,783
e0119,2026-01-22T02:25:00.000Z,u136,Globex,Team,export_csv,mobile,1475
e0120,2026-01-20T15:47:00.000Z,u095,Acme,Free,login,web,1171
e0121,2026-01-14T00:21:00.000Z,u185,Globex,Team,export_csv,mobile,356
e0122,2026-01-01T15:33:00.000Z,u069,Synogize,Pro,query_run,mobile,788
e0123,2026-01-28T08:17:00.000Z,u028,Globex,Team,query_error,web,314
e0124,2026-01-12T13:11:00.000Z,u043,Globex,Team,login,mobile,1115
e0125,2026-01-02T13:38:00.000Z,u100,Globex,Team,query_error,web,1420
e0126,2026-01-15T17:23:00.000Z,u085,Synogize,Pro,chart_apply,web,857
e0127,2026-01-02T18:27:00.000Z,u093,Acme,Free,login,mobile,1363
e0128,2026-01-26T07:58:00.000Z,u030,Globex,Team,export_csv,web,1429
e0129,2026-01-24T10:47:00.000Z,u147,Synogize,Pro,query_run,mobile,1084
e0130,2026-01-09T21:28:00.000Z,u079,Acme,Free,query_run,web,767
e0131,2026-01-13T02:42:00.000Z,u084,Acme,Free,query_run,mobile,807
e0132,2026-01-10T04:19:00.000Z,u172,Acme,Free,chart_apply,web,520
e0133,2026-01-21T16:42:00.000Z,u089,Globex,Team,query_run,mobile,487
e0134,2026-01-15T08:39:00.000Z,u012,Globex,Team,export_csv,web,677
e0135,2026-01-14T14:52:00.000Z,u193,Acme,Free,export_csv,web,859
e0136,2026-01-18T17:32:00.000Z,u007,Acme,Free,export_csv,mobile,612
e0137,2026-01-14T01:57:00.000Z,u098,Acme,Free,export_csv,web,686
e0138,2026-01-03T22:26:00.000Z,u051,Globex,Team,login,mobile,996
e0139,2026-01-18T18:04:00.000Z,u112,Globex,Team,query_run,mobile,1117
e0140,2026-01-19T01:46:00.000Z,u173,Globex,Team,login,mobile,958
e0141,2026-01-06T09:18:00.000Z,u035,Globex,Team,query_run,mobile,794
e0142,2026-01-16T02:10:00.000Z,u089,Globex,Team,export_csv,mobile,635
e0143,2026-01-10T19:38:00.000Z,u011,Acme,Free,export_csv,web,1404
e0144,2026-01-12T17:14:00.000Z,u022,Globex,Team,login,web,1044
e0145,2026-01-20T15:24:00.000Z,u003,Globex,Team,chart_apply,mobile,657
e0146,2026-01-21T15:27:00.000Z,u045,Acme,Free,query_run,web,341
e0147,2026-01-21T03:59:00.000Z,u026,Globex,Team,query_run,mobile,948
e0148,2026-01-08T08:12:00.000Z,u135,Globex,Team,query_error,mobile,1453
e0149,2026-01-29T00:05:00.000Z,u160,Synogize,Pro,query_run,web,525
e0150,2026-01-13T19:59:00.000Z,u085,Globex,Team,export_csv,web,1278
e0151,2026-01-22T11:45:00.000Z,u020,Globex,Team,chart_apply,web,1444
e0152,2026-01-21T12:21:00.000Z,u125,Synogize,Pro,export_csv,mobile,778
e0153,2026-01-14T07:39:00.000Z,u051,Globex,Team,query_run,web,698
e0154,2026-01-30T12:28:00.000Z,u142,Globex,Team,export_csv,mobile,1383
e0155,2026-01-05T01:19:00.000Z,u151,Globex,Team,chart_apply,mobile,757
e0156,2026-01-05T04:29:00.000Z,u072,Synogize,Pro,export_csv,web,576
e0157,2026-01-14T18:20:00.000Z,u087,Acme,Free,export_csv,mobile,924
e0158,2026-01-30T11:10:00.000Z,u004,Globex,Team,chart_apply,mobile,1060
e0159,2026-01-06T05:55:00.000Z,u091,Globex,Team,export_csv,web,1049
e0160,2026-01-16T13:12:00.000Z,u048,Acme,Free,chart_apply,web,1156
e0161,2026-01-02T23:00:00.000Z,u178,Globex,Team,query_run,web,697
e0162,2026-01-29T08:16:00.000Z,u148,Synogize,Pro,export_csv,web,1318
e0163,2026-01-19T15:18:00.000Z,u165,Acme,Free,export_csv,web,331
e0164,2026-01-06T04:11:00.000Z,u023,Acme,Free,chart_apply,web,797
e0165,2026-01-18T00:47:00.000Z,u088,Globex,Team,query_run,web,850
e0166,2026-01-24T04:30:00.000Z,u107,Synogize,Pro,login,web,955
e0167,2026-01-22T18:45:00.000Z,u075,Globex,Team,query_error,mobile,1353
e0168,2026-01-30T04:06:00.000Z,u062,Globex,Team,query_error,mobile,448
e0169,2026-01-29T08:35:00.000Z,u120,Acme,Free,query_run,web,777
e0170,2026-01-07T05:29:00.000Z,u184,Acme,Free,query_run,mobile,1375
e0171,2026-01-22T00:56:00.000Z,u046,Acme,Free,query_run,mobile,1042
e0172,2026-01-05T02:50:00.000Z,u043,Synogize,Pro,query_run,web,1292
e0173,2026-01-30T07:31:00.000Z,u052,Acme,Free,login,web,1483
e0174,2026-01-04T21:16:00.000Z,u137,Acme,Free,export_csv,web,1370
e0175,2026-01-10T10:09:00.000Z,u200,Globex,Team,query_run,mobile,307
e0176,2026-01-30T19:01:00.000Z,u161,Acme,Free,query_error,web,686
e0177,2026-01-04T03:21:00.000Z,u048,Synogize,Pro,query_run,mobile,970
e0178,2026-01-17T00:46:00.000Z,u151,Synogize,Pro,login,web,1070
e0179,2026-01-16T15:09:00.000Z,u095,Synogize,Pro,export_csv,web,1188
e0180,2026-01-25T13:59:00.000Z,u067,Acme,Free,query_run,mobile,1146
e0181,2026-01-14T22:32:00.000Z,u011,Synogize,Pro,chart_apply,web,930
e0182,2026-01-22T00:56:00.000Z,u056,Globex,Team,chart_apply,mobile,844
e0183,2026-01-14T14:27:00.000Z,u174,Acme,Free,login,web,939
e0184,2026-01-08T00:52:00.000Z,u116,Globex,Team,export_csv,mobile,1152
e0185,2026-01-03T01:42:00.000Z,u075,Globex,Team,export_csv,mobile,511
e0186,2026-01-09T09:36:00.000Z,u039,Globex,Team,query_error,mobile,1317
e0187,2026-01-19T12:36:00.000Z,u061,Globex,Team,export_csv,mobile,315
e0188,2026-01-10T12:40:00.000Z,u078,Acme,Free,login,web,1424
e0189,2026-01-28T21:34:00.000Z,u122,Globex,Team,login,web,1062
e0190,2026-01-02T23:08:00.000Z,u057,Acme,Free,query_run,web,763
e0191,2026-01-05T01:54:00.000Z,u072,Acme,Free,export_csv,mobile,566
e0192,2026-01-15T20:13:00.000Z,u155,Synogize,Pro,login,web,938
e0193,2026-01-13T01:09:00.000Z,u172,Globex,Team,login,web,1270
e0194,2026-01-10T19:15:00.000Z,u188,Globex,Team,chart_apply,web,1443
e0195,2026-01-11T16:38:00.000Z,u042,Acme,Free,chart_apply,mobile,658
e0196,2026-01-11T20:00:00.000Z,u023,Synogize,Pro,export_csv,mobile,663
e0197,2026-01-21T18:26:00.000Z,u015,Globex,Team,login,web,1201
e0198,2026-01-05T09:11:00.000Z,u012,Acme,Free,query_run,web,535
e0199,2026-01-13T02:43:00.000Z,u073,Acme,Free,query_error,mobile,738
e0200,2026-01-30T15:47:00.000Z,u165,Synogize,Pro,export_csv,web,344
e0201,2026-01-23T07:21:00.000Z,u126,Acme,Free,chart_apply,web,673
e0202,2026-01-19T08:50:00.000Z,u147,Acme,Free,query_error,mobile,819
e0203,2026-01-29T17:30:00.000Z,u113,Synogize,Pro,login,web,917
e0204,2026-01-17T14:57:00.000Z,u130,Acme,Free,query_run,web,1334
e0205,2026-01-18T08:25:00.000Z,u131,Globex,Team,query_error,web,1106
e0206,2026-01-21T02:21:00.000Z,u027,Acme,Free,query_run,mobile,1406
e0207,2026-01-19T00:27:00.000Z,u031,Globex,Team,query_run,web,947
e0208,2026-01-18T22:24:00.000Z,u090,Globex,Team,login,mobile,1098
e0209,2026-01-08T18:44:00.000Z,u184,Globex,Team,chart_apply,web,1030
e0210,2026-01-24T00:37:00.000Z,u101,Synogize,Pro,login,web,1060
e0211,2026-01-19T12:39:00.000Z,u027,Acme,Free,login,mobile,1284
e0212,2026-01-28T07:17:00.000Z,u096,Globex,Team,chart_apply,mobile,439
e0213,2026-01-24T21:44:00.000Z,u187,Synogize,Pro,query_error,web,775
e0214,2026-01-07T23:56:00.000Z,u106,Synogize,Pro,query_run,web,602
e0215,2026-01-18T03:03:00.000Z,u196,Globex,Team,query_error,web,819
e0216,2026-01-09T12:28:00.000Z,u162,Globex,Team,login,mobile,947
e0217,2026-01-14T15:03:00.000Z,u172,Globex,Team,query_run,web,847
e0218,2026-01-09T23:00:00.000Z,u159,Synogize,Pro,login,web,1290
e0219,2026-01-12T00:51:00.000Z,u162,Acme,Free,export_csv,web,329
e0220,2026-01-23T23:08:00.000Z,u126,Synogize,Pro,export_csv,mobile,1445
e0221,2026-01-15T11:51:00.000Z,u197,Acme,Free,export_csv,mobile,1266
e0222,2026-01-01T22:33:00.000Z,u059,Globex,Team,export_csv,web,626
e0223,2026-01-20T18:47:00.000Z,u040,Acme,Free,query_run,mobile,1359
e0224,2026-01-09T10:23:00.000Z,u015,Synogize,Pro,chart_apply,web,567
e0225,2026-01-29T06:21:00.000Z,u007,Globex,Team,query_run,web,372
e0226,2026-01-03T18:39:00.000Z,u043,Acme,Free,export_csv,web,1437
e0227,2026-01-21T07:50:00.000Z,u034,Globex,Team,login,web,1154
e0228,2026-01-27T10:43:00.000Z,u074,Synogize,Pro,query_error,mobile,669
e0229,2026-01-23T06:16:00.000Z,u104,Synogize,Pro,export_csv,mobile,391
e0230,2026-01-03T06:43:00.000Z,u026,Synogize,Pro,query_run,mobile,1368
e0231,2026-01-20T00:00:00.000Z,u019,Synogize,Pro,export_csv,web,1466
e0232,2026-01-17T05:07:00.000Z,u179,Synogize,Pro,export_csv,mobile,644
e0233,2026-01-22T06:03:00.000Z,u023,Globex,Team,query_run,mobile,1389
e0234,2026-01-03T01:21:00.000Z,u129,Synogize,Pro,export_csv,web,620
e0235,2026-01-12T16:21:00.000Z,u051,Synogize,Pro,chart_apply,web,1382
e0236,2026-01-09T19:16:00.000Z,u037,Globex,Team,query_error,web,1337
e0237,2026-01-12T23:32:00.000Z,u007,Acme,Free,export_csv,web,1430
e0238,2026-01-25T08:58:00.000Z,u002,Globex,Team,query_run,mobile,1252
e0239,2026-01-02T13:09:00.000Z,u135,Synogize,Pro,export_csv,mobile,1007
e0240,2026-01-19T10:23:00.000Z,u188,Acme,Free,chart_apply,web,1040
e0241,2026-01-15T07:57:00.000Z,u027,Acme,Free,login,mobile,1347
e0242,2026-01-23T12:40:00.000Z,u024,Acme,Free,chart_apply,web,316
e0243,2026-01-17T00:10:00.000Z,u095,Globex,Team,query_error,web,675
e0244,2026-01-29T07:45:00.000Z,u041,Globex,Team,query_error,mobile,925
e0245,2026-01-12T13:02:00.000Z,u048,Globex,Team,query_run,web,1108
e0246,2026-01-27T21:18:00.000Z,u149,Synogize,Pro,chart_apply,web,1415
e0247,2026-01-25T17:57:00.000Z,u126,Acme,Free,query_run,web,1233
e0248,2026-01-06T19:01:00.000Z,u190,Synogize,Pro,export_csv,mobile,672
e0249,2026-01-01T18:38:00.000Z,u082,Globex,Team,login,web,874
e0250,2026-01-06T01:35:00.000Z,u004,Acme,Free,query_error,mobile,909
e0251,2026-01-28T05:58:00.000Z,u148,Acme,Free,login,mobile,1387
e0252,2026-01-21T21:03:00.000Z,u052,Synogize,Pro,query_run,web,735
e0253,2026-01-21T22:46:00.000Z,u164,Synogize,Pro,query_run,mobile,1093
e0254,2026-01-13T16:20:00.000Z,u047,Synogize,Pro,login,mobile,1396
e0255,2026-01-17T18:23:00.000Z,u057,Globex,Team,login,web,1016
e0256,2026-01-12T12:11:00.000Z,u113,Globex,Team,export_csv,web,698
e0257,2026-01-15T04:19:00.000Z,u186,Synogize,Pro,query_error,web,377
e0258,2026-01-21T09:20:00.000Z,u100,Globex,Team,chart_apply,mobile,865
e0259,2026-01-23T15:45:00.000Z,u059,Acme,Free,query_run,mobile,1361
e0260,2026-01-08T14:39:00.000Z,u004,Acme,Free,export_csv,mobile,1476
e0261,2026-01-06T08:44:00.000Z,u165,Acme,Free,query_error,web,914
e0262,2026-01-01T07:39:00.000Z,u118,Acme,Free,export_csv,mobile,969
e0263,2026-01-18T07:34:00.000Z,u191,Synogize,Pro,chart_apply,mobile,1334
e0264,2026-01-10T04:08:00.000Z,u015,Synogize,Pro,export_csv,web,1386
e0265,2026-01-24T11:05:00.000Z,u078,Acme,Free,export_csv,mobile,1136
e0266,2026-01-19T03:57:00.000Z,u083,Globex,Team,chart_apply,mobile,1195
e0267,2026-01-04T20:49:00.000Z,u095,Synogize,Pro,export_csv,web,744
e0268,2026-01-02T00:35:00.000Z,u057,Acme,Free,export_csv,mobile,1350
e0269,2026-01-05T06:09:00.000Z,u180,Globex,Team,query_error,web,400
e0270,2026-01-06T03:55:00.000Z,u196,Synogize,Pro,query_error,web,681
e0271,2026-01-12T18:41:00.000Z,u078,Synogize,Pro,chart_apply,mobile,975
e0272,2026-01-27T20:30:00.000Z,u160,Globex,Team,login,web,805
e0273,2026-01-25T22:50:00.000Z,u064,Synogize,Pro,query_error,mobile,1354
e0274,2026-01-06T20:05:00.000Z,u119,Globex,Team,export_csv,mobile,991
e0275,2026-01-05T15:01:00.000Z,u174,Synogize,Pro,query_error,web,1094
e0276,2026-01-09T17:36:00.000Z,u155,Globex,Team,query_run,mobile,1475
e0277,2026-01-19T11:04:00.000Z,u096,Synogize,Pro,export_csv,mobile,459
e0278,2026-01-04T09:58:00.000Z,u079,Acme,Free,chart_apply,mobile,381
e0279,2026-01-20T17:45:00.000Z,u014,Globex,Team,login,mobile,1390
e0280,2026-01-22T09:37:00.000Z,u082,Synogize,Pro,query_run,mobile,373
e0281,2026-01-10T09:00:00.000Z,u164,Globex,Team,export_csv,mobile,486
e0282,2026-01-04T00:30:00.000Z,u134,Acme,Free,export_csv,web,524
e0283,2026-01-12T00:25:00.000Z,u050,Globex,Team,query_error,web,1149
e0284,2026-01-11T06:57:00.000Z,u144,Synogize,Pro,chart_apply,mobile,967
e0285,2026-01-23T12:38:00.000Z,u195,Globex,Team,chart_apply,web,692
e0286,2026-01-22T12:46:00.000Z,u073,Globex,Team,chart_apply,mobile,1315
e0287,2026-01-30T15:59:00.000Z,u037,Acme,Free,chart_apply,mobile,1024
e0288,2026-01-25T17:51:00.000Z,u014,Acme,Free,query_error,mobile,1258
e0289,2026-01-28T17:15:00.000Z,u032,Acme,Free,query_run,web,401
e0290,2026-01-30T16:52:00.000Z,u178,Globex,Team,chart_apply,mobile,642
e0291,2026-01-23T03:46:00.000Z,u065,Synogize,Pro,export_csv,mobile,1238
e0292,2026-01-30T01:03:00.000Z,u099,Acme,Free,query_error,web,613
e0293,2026-01-25T03:24:00.000Z,u160,Acme,Free,query_run,web,1112
e0294,2026-01-14T09:33:00.000Z,u057,Acme,Free,login,mobile,1040
e0295,2026-01-10T20:20:00.000Z,u102,Synogize,Pro,query_run,web,755
e0296,2026-01-26T09:17:00.000Z,u102,Acme,Free,query_run,web,1391
e0297,2026-01-29T23:33:00.000Z,u067,Globex,Team,login,mobile,1460
e0298,2026-01-15T04:32:00.000Z,u195,Globex,Team,query_error,web,566
e0299,2026-01-09T04:13:00.000Z,u035,Synogize,Pro,export_csv,web,1186
e0300,2026-01-05T09:55:00.000Z,u141,Globex,Team,login,web,1374
e0301,2026-01-11T00:47:00.000Z,u026,Acme,Free,login,web,816
e0302,2026-01-22T09:48:00.000Z,u121,Acme,Free,chart_apply,mobile,394
e0303,2026-01-06T06:57:00.000Z,u135,Acme,Free,export_csv,web,575
e0304,2026-01-18T07:01:00.000Z,u040,Synogize,Pro,chart_apply,mobile,929
e0305,2026-01-14T23:26:00.000Z,u040,Acme,Free,query_run,mobile,905
e0306,2026-01-05T02:05:00.000Z,u166,Acme,Free,login,web,1252
e0307,2026-01-04T05:58:00.000Z,u048,Acme,Free,query_error,mobile,1157
e0308,2026-01-25T17:36:00.000Z,u114,Synogize,Pro,query_run,web,1355
e0309,2026-01-11T18:50:00.000Z,u107,Synogize,Pro,query_error,mobile,1081
e0310,2026-01-06T09:34:00.000Z,u004,Globex,Team,login,mobile,1457
e0311,2026-01-25T01:18:00.000Z,u135,Synogize,Pro,query_error,web,916
e0312,2026-01-19T20:44:00.000Z,u024,Synogize,Pro,query_run,mobile,1206
e0313,2026-01-22T23:51:00.000Z,u069,Acme,Free,export_csv,web,915
e0314,2026-01-13T19:40:00.000Z,u062,Globex,Team,query_run,web,689
e0315,2026-01-29T07:00:00.000Z,u199,Synogize,Pro,query_run,mobile,995
e0316,2026-01-13T10:48:00.000Z,u068,Globex,Team,export_csv,mobile,1222
e0317,2026-01-14T07:10:00.000Z,u086,Acme,Free,query_run,web,1129
e0318,2026-01-17T18:08:00.000Z,u137,Acme,Free,query_error,mobile,1210
e0319,2026-01-01T16:19:00.000Z,u023,Globex,Team,query_run,web,970
e0320,2026-01-26T19:37:00.000Z,u090,Synogize,Pro,query_error,web,738
e0321,2026-01-23T07:49:00.000Z,u165,Acme,Free,query_error,mobile,836
e0322,2026-01-15T19:41:00.000Z,u076,Synogize,Pro,export_csv,web,1367
e0323,2026-01-27T19:22:00.000Z,u146,Globex,Team,query_error,mobile,1369
e0324,2026-01-10T22:38:00.000Z,u096,Globex,Team,export_csv,web,302
e0325,2026-01-09T02:04:00.000Z,u023,Acme,Free,export_csv,web,355
e0326,2026-01-20T12:03:00.000Z,u124,Synogize,Pro,export_csv,web,745
e0327,2026-01-26T21:03:00.000Z,u022,Acme,Free,login,web,1196
e0328,2026-01-04T23:41:00.000Z,u004,Acme,Free,query_error,mobile,1382
e0329,2026-01-13T01:21:00.000Z,u046,Acme,Free,query_run,web,883
e0330,2026-01-02T00:37:00.000Z,u012,Globex,Team,query_run,mobile,908
e0331,2026-01-22T03:08:00.000Z,u126,Acme,Free,query_error,web,884
e0332,2026-01-17T19:18:00.000Z,u072,Acme,Free,query_run,web,669
e0333,2026-01-28T21:10:00.000Z,u169,Globex,Team,login,web,1335
e0334,2026-01-22T10:47:00.000Z,u117,Synogize,Pro,chart_apply,web,345
e0335,2026-01-14T16:33:00.000Z,u120,Synogize,Pro,login,web,1046
e0336,2026-01-16T09:00:00.000Z,u100,Acme,Free,login,web,1458
e0337,2026-01-12T03:49:00.000Z,u196,Synogize,Pro,query_error,web,666
